number,value,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_eta,params_gamma,params_lambda,params_max_bin,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_best_iteration,user_attrs_best_score_xgb,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse,state
37,2.059912433348862,1.4934806281253943,0.634882514002606,184,0.008224273378068296,10.19241881133164,0.23978235112449658,64,3,5.689570334056823,668,0.6202461084209976,665,2.059912422773261,0.5458000043736323,1.607850823589591,0.2553205960135504,2.034632762143924,0.46280665777061336,2.059912433348862,COMPLETE
38,2.0617613055657227,4.89637359629454,0.5713997683998069,203,0.06062844938189735,19.869644044298717,37.32690702679455,128,4,8.75093666216123,1590,0.701673190464561,53,2.061761301964668,0.5490086312497273,1.617664501720915,0.25260546639216785,2.0383385618247556,0.4452363964356209,2.0617613055657227,COMPLETE
39,2.0512400265931445,1.431345374604485,0.7142294572066281,108,0.05060133600930091,1.1241395975711237,18.85785469322144,512,2,0.8701348007091507,2231,0.8011155529372052,53,2.0512400125571117,0.5461798675078471,1.6034080103766268,0.26268399730676917,2.024548532082718,0.4324361599154249,2.0512400265931445,COMPLETE
40,2.063054606063198,7.318298749198155,0.8108329449536995,132,0.07315849124609429,8.649440046379388,1.55973760414477,64,3,0.21569232241200267,1900,0.8672150191105439,417,2.0630546024594616,0.549362944657223,1.6126148448897335,0.2523777150064931,2.0386491066911137,0.4726814227980039,2.063054606063198,COMPLETE
41,2.0250347164005724,1.9151815610644332,0.7350622481007806,171,0.09323360833185831,3.919379845405372,1.7094954525957702,128,3,4.017678503281762,1481,0.8992938105542302,1150,2.0250347071889583,0.5654462895277192,1.568866334458345,0.2829510519320363,1.9965296473029823,0.494355281305829,2.0250347164005724,COMPLETE
42,2.0296221653564346,3.5229398917353936,0.7193697349202054,157,0.09964895988530795,2.9193781314028615,0.8974857553195225,128,3,4.976317291233334,1440,0.9226531219829792,476,2.0296221623764064,0.5645143424195243,1.5755513082170196,0.27925573249342517,2.001667604647372,0.4982367940143831,2.0296221653564346,COMPLETE
43,2.0385468606233013,1.2644457080568827,0.6752731587015054,192,0.09895191974155702,6.401673995474942,0.5175259948515416,128,3,2.7837361513620125,1026,0.9619502774099444,210,2.0385468558952238,0.5547620210121919,1.5913234562851921,0.271188985350612,2.012838014240792,0.4837795755899097,2.0385468606233013,COMPLETE
44,2.0506753081263187,2.105644239239221,0.7634313406790079,177,0.08158807259906757,5.032977511212406,0.34576543596944787,128,8,6.0413551760718445,1258,0.8434354604129262,647,2.050675308692295,0.5444195942732776,1.5834558113821664,0.2651226848522249,2.0211976414577584,0.46446171145239273,2.0506753081263187,COMPLETE
45,2.0428056689317438,0.050576016754767236,0.7330675490145189,225,0.07108906381818272,1.4673905749157776,3.605797965090605,128,2,3.8727981185908193,1621,0.5855143649026988,454,2.042805659070473,0.5602641738658622,1.5920695472827524,0.2687963907354075,2.016139253704433,0.49472059658575573,2.0428056689317438,COMPLETE
46,2.0425067676599102,1.0489696527188246,0.6865294867639471,167,0.045982096275953614,6.986622983991084,1.24085322459133,256,4,1.6968545853106747,1815,0.7659542718493294,935,2.0425067658056237,0.5573318089629287,1.5942819912846875,0.2687185665199221,2.0162465427543013,0.48790865568243,2.0425067676599102,COMPLETE
47,2.0702069107901364,14.613685569731592,0.9973440579945999,207,0.03475152655568165,5.599421485191698,2.3596599802059135,512,3,15.130626971942178,1962,0.6416343816781519,489,2.070206907023352,0.5467816147691767,1.6143888678377383,0.248392454878809,2.0440754755859225,0.46756382353789905,2.0702069107901364,COMPLETE
48,2.0554208904023974,2.793045249168736,0.5913106608447536,153,0.1068087612995762,2.7852775033273622,7.984762684215124,128,7,9.192906304712839,1736,0.8966523413313265,127,2.055420881685605,0.541687578300829,1.5875285344981225,0.2643143253629666,2.0223089869841306,0.45552169778471263,2.0554208904023974,COMPLETE
49,2.0563834694315335,3.470755694158817,0.6278296215203335,162,0.05915845749709687,4.372331268579169,4.839772479009578,128,2,2.686635576518668,2917,0.6715883955060118,53,2.0563834662059017,0.5451155481213454,1.6075784365984327,0.2579565602685412,2.0310285442010834,0.44080500435324027,2.0563834694315335,COMPLETE
50,2.0532387081841197,0.9220348535336678,0.6999256620628224,139,0.015588531382423063,11.037430228786974,3.3686292053178644,128,3,4.70091855049343,1182,0.9316905603475752,1120,2.05323870704974,0.5510787043318984,1.60255887504611,0.2603909736755837,2.027694221203515,0.46679819565999753,2.0532387081841197,COMPLETE
51,2.032940454598393,2.2129358304424094,0.7324987271845044,172,0.08855918449441402,4.08259114767951,1.659351075912846,128,3,3.865436137937669,1502,0.8887628349634993,585,2.032940448358304,0.5626974207334282,1.5846639982299353,0.2757053444799983,2.006591657864957,0.49309124533554555,2.032940454598393,COMPLETE
52,2.026778285455745,1.7183759761850634,0.7991252225398144,181,0.09120872220835377,3.3442827610657218,1.8513393245719998,128,4,4.1986872385070395,1322,0.9160076132135071,579,2.026778282955264,0.5631938288790722,1.5693238220871262,0.2815127570475153,1.9985310168241945,0.48840191945734057,2.026778285455745,COMPLETE
53,2.0161360604683582,0.7888126175296406,0.6569945073986189,169,0.11724539886812538,4.810227571748739,1.3690630836439477,128,2,7.298844976000385,1490,0.8543318176782788,1010,2.0161360547368288,0.5718868994436319,1.5699672580497792,0.2886142569432225,1.9886297889070144,0.5042228561196236,2.0161360604683582,COMPLETE
54,2.034451587087955,0.44725436963242515,0.65754700639217,188,0.11869405455550218,4.9013623205490155,1.067598293180679,128,2,6.951718787692715,1530,0.8589278210981512,145,2.0344515811740504,0.5637012212018209,1.5915182764184457,0.27336022507273605,2.009837501344506,0.4816011280924315,2.034451587087955,COMPLETE
55,2.0475977752755443,3.0541429509252644,0.6485056506451744,151,0.10886059463373027,6.978719157690037,2.5655417584262454,128,2,11.126245246403546,1638,0.8084202942621217,237,2.047597766517514,0.5627637936622335,1.5986741245308425,0.2635374696398054,2.0233764454405625,0.4949935340698775,2.0475977752755443,COMPLETE
56,2.05715915892242,0.8464053831415395,0.7086948278531928,165,0.07606982235025708,5.754677247878465,0.6364177781762126,256,2,19.809627697523084,1389,0.7777525947000721,39,2.0571591552231703,0.5464535886328586,1.6110163629898342,0.2573688813628674,2.0318326456447364,0.43916497509714486,2.05715915892242,COMPLETE
57,2.0254085915297626,4.2245865733838475,0.687624875829629,192,0.10365623890145556,2.1342337634241906,1.3288328230333402,128,2,2.9313704906925966,1847,0.8548195746422398,940,2.0254085835150093,0.5662066188338881,1.5816446663907247,0.2820884878279736,1.9977301352318837,0.4980199631443191,2.0254085915297626,COMPLETE
