number,value,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_wait,params_random_strength,user_attrs_best_iteration,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse_diagnostic_only,state
28,1.8942831388633008,1.0688781852660831,128,6,323,32.19136865288914,0.01585462036679608,38,187,8.950938474283314,322,0.6122178434635599,1.4878737232457013,0.354513649588604,1.8942831388633008,0.556040077116533,1.923980038732745,COMPLETE
29,1.8978582271201294,4.251575394914514,128,8,1097,8.997924728312773,0.09021944632044372,28,142,9.930316596601775,91,0.607416247258259,1.489760944596855,0.3520748924017588,1.8978582271201294,0.5482247523813473,1.925072499274819,COMPLETE
30,1.8783120421195671,1.7187361721112326,128,7,486,5.666563179066019,0.07655868462033052,13,229,5.629669632224017,124,0.6149016726678055,1.4677751290102377,0.36535222545498025,1.8783120421195671,0.5579097229420595,1.9057646734688243,COMPLETE
31,1.8870259531971203,1.7894914575840157,128,7,509,2.658790361556116,0.0795518043743335,14,237,8.128301540879843,96,0.6115863411763096,1.4776830355307264,0.35945001941342736,1.8870259531971203,0.555041401070505,1.9150340662235248,COMPLETE
32,1.8857556189034732,3.1298246416534043,128,7,720,4.700666991100615,0.052687164731448764,21,233,5.471015220521007,141,0.6118710047795182,1.478996822959044,0.3603121577561339,1.8857556189034732,0.5554532791964069,1.9150417266763007,COMPLETE
33,1.891499549700789,0.9167770627288458,128,7,443,5.93204605253156,0.10463958971436824,10,218,4.074497589128409,36,0.6116779864750728,1.4836584686494723,0.35640929932041976,1.891499549700789,0.5571883119063913,1.9205351459731388,COMPLETE
34,1.8963488961810844,1.6010240664894684,128,6,962,2.3655391034102005,0.03468662382185232,3,179,3.3791596708852745,234,0.6073696409295097,1.4840045829037256,0.35310504790135533,1.8963488961810844,0.5570508337218895,1.9241219930388447,COMPLETE
35,1.887415538620596,0.7746347175615133,64,7,576,22.0007618781048,0.05057840964370581,15,105,6.958868054377634,151,0.6103203032829007,1.4803763257922609,0.3591855029712451,1.887415538620596,0.5553882610499794,1.916828712673224,COMPLETE
36,1.8855566462815059,2.3222074739212264,128,8,787,9.763523194182856,0.0087552108679372,11,166,5.559570520978715,777,0.613749140429102,1.4769990603348369,0.36044714200439953,1.8855566462815059,0.5608574527448369,1.914336799866051,COMPLETE
37,1.8905257267451818,2.7981636615232914,32,7,1320,5.564420903867098,0.06771568172649377,20,193,2.515926071959737,85,0.6089742193852958,1.4793128782501128,0.35707182346598376,1.8905257267451818,0.5539919116389087,1.9184861641838007,COMPLETE
38,1.883739697024339,1.4494099071005597,64,6,1047,13.522849402051454,0.011440069904726484,18,207,9.199572737917647,815,0.6135331937196947,1.4738640160864922,0.3616791126436879,1.883739697024339,0.5586147442868136,1.9123539860279657,COMPLETE
39,1.8928930187179258,5.888900372404714,128,4,490,1.721255702468537,0.02230598792249798,5,135,8.302768108056375,324,0.6092330503098539,1.4815827306312719,0.35546068260351427,1.8928930187179258,0.5553503809959706,1.922163927190062,COMPLETE
40,1.8834488516981132,7.089259599826936,128,8,303,1.3070271987926598,0.02448511123296755,13,119,6.705614765057137,295,0.6140998644655319,1.4749826038347704,0.36187620814985577,1.8834488516981132,0.5597310539217335,1.9111040764110725,COMPLETE
41,1.8881248249158757,7.370124189750957,128,8,375,1.1845991939752651,0.023849113096249618,13,121,5.566763412417016,295,0.6107245012716009,1.4784171028658974,0.35870377932830155,1.8881248249158757,0.5573587027554144,1.9171462353027913,COMPLETE
42,1.8901159480463194,9.72569131881668,128,8,619,1.3573844086291302,0.03449078046906633,13,92,6.397035896934733,240,0.6085854788267708,1.4822003736055138,0.3573505075538226,1.8901159480463194,0.5489511669658129,1.9198974689338288,COMPLETE
43,1.8863594753007455,7.516956159333143,128,8,303,1.0278357948431207,0.01806872937458426,10,223,6.881422236359789,302,0.6126819897402236,1.4759304884446478,0.35990241066152395,1.8863594753007455,0.5606345402435902,1.9157492996185173,COMPLETE
44,1.9215788086826113,0.5662394938263078,128,7,446,2.1436901416557013,0.005308266356088924,17,66,7.658729891269373,444,0.6099196892697037,1.5142810091928998,0.3357773558656364,1.9215788086826113,0.55529615974347,1.954699767984434,COMPLETE
45,1.886960206138255,6.700851204737295,64,6,802,17.588582202245572,0.013272971893700034,38,150,5.9806602326176295,621,0.6118464777107658,1.4755518035545263,0.35949465424586635,1.886960206138255,0.5551750894852675,1.9163281512655332,COMPLETE
46,1.8798232012234084,8.685736648217988,128,7,626,3.3955994603713524,0.07749329716268671,9,82,9.341528731311408,96,0.6139519668040396,1.4720134508947575,0.36433062783470593,1.8798232012234084,0.556818473624457,1.9100127129727222,COMPLETE
47,1.8996484632190636,8.59096025945406,32,7,1497,3.568006779322862,0.11939275293710438,1,114,6.681717436889693,109,0.604896952090815,1.4844898723117304,0.3508519496323891,1.8996484632190636,0.5489001616127634,1.9281589079210792,COMPLETE
48,1.8860899754988647,9.363888691749779,128,8,426,1.4911810772094776,0.07773916671177233,8,84,9.040723590961637,105,0.6133856817268873,1.482630607869707,0.3600852961115043,1.8860899754988647,0.5580221412754464,1.9146701467289475,COMPLETE
49,1.8858969125833238,8.64469663991079,128,7,979,6.094732635771696,0.10286338494441949,6,101,7.927832427260374,68,0.610837933788087,1.4715032338593959,0.36021629460783644,1.8858969125833238,0.5535900912383243,1.9153988217112525,COMPLETE
50,1.8847245967327655,4.943372512180388,128,8,300,47.04556719798734,0.05868266064519504,11,162,7.3178576814002785,159,0.6116397971337779,1.476774514826563,0.36101145520909483,1.8847245967327655,0.553447959439121,1.9152444296784104,COMPLETE
51,1.887691324763574,7.565428011495938,128,6,581,2.5048000699466706,0.02649927705790136,15,62,9.55992457941434,323,0.6121742083662437,1.4784090209271608,0.35899821970852697,1.887691324763574,0.5563342448417321,1.9158897244482394,COMPLETE
52,1.8815208221470479,9.929151253414474,128,7,730,3.0195211616679085,0.035866063368349334,22,81,9.334342716251856,207,0.6158903552438143,1.4739048317994567,0.36318199546165,1.8815208221470479,0.561733196199091,1.9097493881233516,COMPLETE
53,1.8898541872477665,9.922358156411862,128,7,1208,3.90108681644227,0.04630141491817962,12,80,8.66734666482089,153,0.6106258889468693,1.4783612131527384,0.35752849536048814,1.8898541872477665,0.5496205860449459,1.919330065595753,COMPLETE
54,1.881981773684958,9.248870670922168,254,7,760,4.834280724801462,0.07281959803100278,23,96,9.296888559506261,113,0.6133168890893944,1.472260633711795,0.36286993067619955,1.881981773684958,0.5575933774530047,1.9122162357807921,COMPLETE
55,1.8774794340654368,9.207410106176194,254,7,719,4.652895969269836,0.06640931647910714,22,73,9.300148142923613,142,0.6174249395975628,1.4705128781222763,0.3659147472519698,1.8774794340654368,0.5613699086276177,1.9044291885277824,COMPLETE
56,1.8836600899264084,8.21094092421663,254,7,660,3.096454657749905,0.05996124233688049,31,74,8.761334563442396,157,0.6178181763587355,1.476472094836606,0.36173306256017523,1.8836600899264084,0.5606580139766072,1.9091172690952767,COMPLETE
57,1.8937415703765184,9.538959467019533,254,7,850,23.733724149754465,0.08908845169109138,22,57,0.6707949399380118,321,0.6018133477662649,1.471019440116459,0.3548826811106146,1.8937415703765184,0.54941352945832,1.9303596139685064,COMPLETE
58,1.8837443320008067,8.911620910989178,254,7,1172,6.612797732696836,0.03717823512958995,19,85,8.369607074230753,243,0.6121723216005335,1.4723716012277224,0.36167597143905506,1.8837443320008067,0.556105637102547,1.9127386764863257,COMPLETE
59,1.8848704809337817,8.082789045183914,254,7,686,5.076408512968177,0.048014144339461266,25,59,9.407555803240305,183,0.613409328892447,1.4747700874428666,0.36091253153484815,1.8848704809337817,0.558150392040558,1.9131377915788554,COMPLETE
60,1.89095985243973,9.973399335867642,32,5,1007,3.960918411563593,0.06428486246694137,33,74,9.998153502804115,193,0.6091334180359277,1.4804816862289683,0.3567765154638215,1.89095985243973,0.5468301309064487,1.9189055712846215,COMPLETE
61,1.8847562053075038,9.19077986085887,254,7,731,4.51801321517007,0.07449653235743901,23,95,9.182917608270948,117,0.6121485501496252,1.4770133990939467,0.3609900221715302,1.8847562053075038,0.5525345663172518,1.9131700729725833,COMPLETE
62,1.8808296079555182,9.072235219196969,254,7,904,10.682356763669485,0.09607820924886737,29,81,9.413758747026089,99,0.614636404287399,1.4711680289525417,0.3636498051004924,1.8808296079555182,0.5619118407016046,1.9108081825781935,COMPLETE
63,1.8847920381810672,8.419351676729821,254,7,894,10.924808179913931,0.09575791707296395,27,80,8.956517417547989,275,0.6103794426796088,1.4733463792810075,0.36096572430070706,1.8847920381810672,0.5641209958426208,1.9179321976953225,COMPLETE
64,1.8833445588110171,0.06343605792648344,254,7,538,9.020177390259962,0.08468102225574911,29,107,9.658346501271794,99,0.6141646812310692,1.4773150476181554,0.36194687630728317,1.8833445588110171,0.5586099210463419,1.9116545352562435,COMPLETE
65,1.8943048140628744,7.847328179185915,254,6,399,13.041429323927803,0.10598297291933269,32,69,8.01545965595607,83,0.6094760062093102,1.4839400626662786,0.35449887764113097,1.8943048140628744,0.5491972817211805,1.921847728792189,COMPLETE
66,1.8869500136659738,9.023820962230694,64,6,885,14.750890127016852,0.06821773039794496,36,54,7.496705033739777,135,0.6138816171901776,1.473802077837912,0.35950157364494006,1.8869500136659738,0.558912765253438,1.9149455819101924,COMPLETE
67,1.8923280179944595,5.421967372453885,254,7,1238,8.038062324364681,0.05973632569308506,40,89,8.40293579253526,168,0.6073890586820782,1.4814502505381686,0.35584539619065947,1.8923280179944595,0.5516502669600634,1.9215545294990655,COMPLETE
68,1.883942905989085,8.81270849642786,128,7,611,17.26507462146414,0.08034435523853285,9,50,8.792712614782381,99,0.613184761122983,1.474600948731917,0.3615413871147428,1.883942905989085,0.5559471379721012,1.9128937890801871,COMPLETE
69,1.8987171990096139,9.553682173258448,128,6,479,12.258018635396088,0.09585916912079043,16,249,2.1397778686304165,44,0.6057041951021082,1.4863813607516627,0.35148825701109687,1.8987171990096139,0.552227354066506,1.9274277047662431,COMPLETE
70,1.8878541480028805,1.9771597309924986,32,4,1093,2.9670635414914153,0.05417107702157109,25,69,3.6648614978069656,429,0.6089300743440696,1.476011723089548,0.35888763543436375,1.8878541480028805,0.5511785902127763,1.9185812495185643,COMPLETE
71,1.8822597053618844,9.282937431487564,254,7,804,5.062249727328156,0.07232806956114055,23,98,9.364901200494876,111,0.6135086753241863,1.4753025874256953,0.36268173363138423,1.8822597053618844,0.5568232104856751,1.911384049839473,COMPLETE
72,1.8830312602001757,9.139001891171372,254,7,771,3.519589716547509,0.06505521595203749,21,83,9.257514334511743,123,0.6135076177124481,1.4744359949309567,0.3621591417999217,1.8830312602001757,0.5599993341711776,1.9127837408273836,COMPLETE
73,1.894101505143,9.71998825974106,254,7,545,6.855951808478584,0.11123390305496793,29,62,9.662465319960152,91,0.606677332867117,1.4854430604377493,0.3546374288314562,1.894101505143,0.5521320477953936,1.9242087910479149,COMPLETE
74,1.8892533260086242,8.398676610056123,254,7,685,19.62279552930461,0.09300437145306845,18,90,8.621406329870368,72,0.6085337862687404,1.4762454039530573,0.357936965875002,1.8892533260086242,0.5479658466097315,1.9193911312473957,COMPLETE
