player.avatar,player.eligibility.type,player.eligibility.years,player.endDate,player.firstName,player.height,player.highSchoolRank,player.highSchoolRating,player.institutionStatus,player.key,player.lastName,player.lastUpdateDate,player.playerProfileUrl,player.position,player.positionGroupKey,player.positionGroupName,player.positionKey,player.positionRank,player.rank,player.rankTrend,player.rating,player.starRating,player.startDate,player.stateRank,player.status,player.statusDate,player.transfer.destination,player.transfer.source.alternateAsset,player.transfer.source.defaultAsset,player.transfer.source.institution,player.transfer.source.institutionKey,player.transfer.source.institutionRootPath,player.transfer.source.lightAsset,player.transfer.source.logo,player.transferCommitDateTime,player.transferDate,player.transferRank,player.transferRating,player.weight,year
https://s3media.247sports.com/Uploads/Assets/209/646/13646209.jpeg,Immediate,,,Quin,6-2,,,T,46140662,Berger,2026-04-25T00:52:15Z,https://247sports.com/player/quin-berger-46140662/college-331314,PG,9,Guard,31,76.0,485.0,,0.82,3.0,,23.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/865/542/12542865.png', 'institution': 'Miami', 'institutionKey': 24013, 'institutionRootPath': '/college/miami', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/865/542/12542865.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/258/550/12550258.png,Bucknell,24207,/college/bucknell,https://s3media.247sports.com/Uploads/Assets/258/550/12550258.png,,2026-04-25T00:52:00Z,2026-03-06T19:17:00Z,485.0,0.82,195,2026
https://s3media.247sports.com/Uploads/Assets/292/646/13646292.jpeg,Immediate,,,Avery,6-4,185.0,0.89,T,46098106,Brown,2026-04-23T22:25:14Z,https://247sports.com/player/avery-brown-46098106/college-334822,PG,9,Guard,31,77.0,486.0,,0.82,3.0,,20.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/877/620/12620877.png', 'institution': ""St. John's"", 'institutionKey': 24309, 'institutionRootPath': '/college/saint-johns', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/877/620/12620877.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/59/625/12625059.png,Columbia,24164,/college/columbia,https://s3media.247sports.com/Uploads/Assets/59/625/12625059.png,,2026-04-23T22:24:00Z,2026-02-19T19:54:00Z,486.0,0.82,190,2026
https://s3media.247sports.com/Uploads/Assets/148/664/13664148.jpeg,Immediate,,,Colin,6-3,,,T,46165727,Hawkins,2026-04-14T17:26:24Z,https://247sports.com/player/colin-hawkins-46165727/college-356693,CG,9,Guard,36,55.0,487.0,,0.82,3.0,,26.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/891/542/12542891.png', 'institution': 'Pittsburgh', 'institutionKey': 24034, 'institutionRootPath': '/college/pittsburgh', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/714/953/12953714.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/35/550/12550035.png,Gardner-Webb,24137,/college/gardner-webb,https://s3media.247sports.com/Uploads/Assets/35/550/12550035.png,,2026-04-14T17:26:00Z,2026-03-19T14:09:00Z,487.0,0.82,225,2026
https://s3media.247sports.com/Uploads/Assets/196/689/13689196.jpeg,Immediate,,,Brock,6-10,228.0,0.87,T,46132589,Vice,2026-04-08T16:24:46Z,https://247sports.com/player/brock-vice-46132589/college-357742,C,11,Center,35,72.0,488.0,,0.82,3.0,,12.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/9/543/12543009.png', 'institution': 'Kansas State', 'institutionKey': 24023, 'institutionRootPath': '/college/kansas-state', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/173/617/12617173.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/219/550/12550219.png,Murray State,24202,/college/murray-state,https://s3media.247sports.com/Uploads/Assets/219/550/12550219.png,,2026-04-08T16:23:00Z,2026-04-02T14:20:00Z,488.0,0.82,238,2026
https://s3media.247sports.com/Uploads/Assets/804/735/13735804.jpg,Immediate,,,Kadyn,6-8,256.0,0.87,T,46118016,Betts,2026-04-17T17:49:09Z,https://247sports.com/player/kadyn-betts-46118016/college-358654,SF,10,Forward,33,84.0,489.0,,0.82,3.0,,2.0,Committed,,"[{'alternateAsset': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/974/544/12544974.png', 'institution': 'Nebraska', 'institutionKey': 24025, 'institutionRootPath': '/college/nebraska', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/257/617/12617257.png', 'logo': None, 'percentage': None, 'transferred': True}]",,https://s3media.247sports.com/Uploads/Assets/841/392/9392841.png,Montana,24128,/college/montana,https://s3media.247sports.com/Uploads/Assets/842/392/9392842.png,,2026-04-17T17:48:00Z,2026-04-07T19:15:00Z,489.0,0.82,219,2026
https://s3media.247sports.com/Uploads/Assets/653/714/13714653.jpg,Withdrawn,2.0,2026-05-01T05:00:00Z,Allen,6-7.75,,,T,46166229,Graves,2026-06-06T03:00:10Z,https://247sports.com/player/allen-graves-46166229/college-358478,PF,10,Forward,34,2.0,4.0,,0.98,5.0,2024-06-01T05:00:00Z,1.0,Withdrawn,2026-05-26T17:46:51Z,[],https://s3media.247sports.com/Uploads/Assets/654/551/12551654.png,https://s3media.247sports.com/Uploads/Assets/655/551/12551655.png,Santa Clara,24351,,https://s3media.247sports.com/Uploads/Assets/654/551/12551654.png,https://s3media.247sports.com/Uploads/Assets/654/551/12551654.png,,2026-05-26T17:46:51Z,4.0,0.98,226,2026
https://s3media.247sports.com/Uploads/Assets/561/691/13691561.jpeg,Immediate,,2026-05-01T18:03:00Z,Arterio,6-3,18.0,0.98,HS,46094923,Morris,2026-06-06T03:00:10Z,https://247sports.com/player/arterio-morris-46094923/college-357834,CG,9,Guard,36,2.0,18.0,,0.98,5.0,2025-08-25T19:00:00Z,3.0,Committed,2026-05-25T15:31:00Z,"[{'alternateAsset': 'https://s3media.247sports.com/Uploads/Assets/244/550/12550244.png', 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/244/550/12550244.png', 'institution': 'Tennessee State', 'institutionKey': 24204, 'institutionRootPath': 'https://247sports.com/college/tennessee-state', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/244/550/12550244.png', 'logo': 'https://s3media.247sports.com/Uploads/Assets/244/550/12550244.png', 'percentage': 0, 'transferred': True}]",https://s3media.247sports.com/Uploads/Assets/159/550/12550159.png,https://s3media.247sports.com/Uploads/Assets/159/550/12550159.png,Bethune-Cookman,24171,https://247sports.com/college/bethune-cookman,https://s3media.247sports.com/Uploads/Assets/159/550/12550159.png,https://s3media.247sports.com/Uploads/Assets/159/550/12550159.png,2026-05-25T15:31:00Z,2026-05-25T15:31:00Z,,,190,2026
https://s3media.247sports.com/Uploads/Assets/772/343/13343772.jpg,Withdrawn,,,Rob,6-1,23.0,0.97,HS,46129001,Wright III,2026-06-06T03:00:10Z,https://247sports.com/player/rob-wright-iii-46129001/college-345594,PG,9,Guard,31,1.0,23.0,,0.97,4.0,2025-06-01T05:00:00Z,6.0,Withdrawn,2026-04-15T16:36:29Z,[],https://s3media.247sports.com/Uploads/Assets/803/620/12620803.png,https://s3media.247sports.com/Uploads/Assets/804/620/12620804.png,BYU,24079,https://247sports.com/college/byu,https://s3media.247sports.com/Uploads/Assets/803/620/12620803.png,https://s3media.247sports.com/Uploads/Assets/803/620/12620803.png,,2026-04-15T16:36:29Z,,,183,2026
https://s3media.247sports.com/Uploads/Assets/512/361/13361512.jpg,Immediate,,2026-05-01T18:13:00Z,Vincent,7-1,28.0,0.97,HS,46093901,Iwuchukwu,2026-06-06T03:00:10Z,https://247sports.com/player/vincent-iwuchukwu-46093901/college-346110,C,11,Center,35,6.0,28.0,,0.97,4.0,2025-08-01T05:00:00Z,3.0,Entered,2026-04-20T20:38:00Z,[],https://s3media.247sports.com/Uploads/Assets/952/546/12546952.png,https://s3media.247sports.com/Uploads/Assets/952/546/12546952.png,Georgetown,24210,https://247sports.com/college/georgetown,https://s3media.247sports.com/Uploads/Assets/952/546/12546952.png,https://s3media.247sports.com/Uploads/Assets/952/546/12546952.png,,2026-04-20T20:38:00Z,,,257,2026
https://s3media.247sports.com/Uploads/Assets/647/358/13358647.jpg,Immediate,,2026-04-09T12:25:00Z,Baye,6-11,29.0,0.95,HS,46102283,Fall,2026-06-06T03:00:10Z,https://247sports.com/player/baye-fall-46102283/college-346008,C,11,Center,35,5.0,29.0,,0.95,4.0,2025-06-01T05:00:00Z,1.0,Committed,2026-05-06T01:41:00Z,"[{'alternateAsset': 'https://s3media.247sports.com/Uploads/Assets/893/549/12549893.png', 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/893/549/12549893.png', 'institution': 'Fresno State', 'institutionKey': 24118, 'institutionRootPath': 'https://247sports.com/college/fresno-state', 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/893/549/12549893.png', 'logo': 'https://s3media.247sports.com/Uploads/Assets/893/549/12549893.png', 'percentage': 0, 'transferred': True}]",https://s3media.247sports.com/Uploads/Assets/225/525/12525225.png,https://s3media.247sports.com/Uploads/Assets/224/525/12525224.png,Rutgers,24035,https://247sports.com/college/rutgers,https://s3media.247sports.com/Uploads/Assets/248/617/12617248.png,https://s3media.247sports.com/Uploads/Assets/225/525/12525225.png,2026-05-06T01:41:00Z,2026-05-06T01:41:00Z,,,205,2026
