"TeamId","Team","Conference","IdHash","Athletes[0] Id","Athletes[0] Name","Athletes[1] Id","Athletes[1] Name","Athletes[2] Id","Athletes[2] Name","Athletes[3] Id","Athletes[3] Name","Athletes[4] Id","Athletes[4] Name","TotalSeconds","Pace","OffenseRating","DefenseRating","NetRating","TeamStats Points","TeamStats Possessions","TeamStats Assists","TeamStats Steals","TeamStats Turnovers","TeamStats Blocks","TeamStats DefensiveRebounds","TeamStats OffensiveRebounds","TeamStats TrueShooting","TeamStats FieldGoals Made","TeamStats FieldGoals Attempted","TeamStats FieldGoals Pct","TeamStats FreeThrows Made","TeamStats FreeThrows Attempted","TeamStats FreeThrows Pct","TeamStats TwoPointers Made","TeamStats TwoPointers Attempted","TeamStats TwoPointers Pct","TeamStats TwoPointers TipIns Made","TeamStats TwoPointers TipIns Attempted","TeamStats TwoPointers TipIns Pct","TeamStats TwoPointers Dunks Made","TeamStats TwoPointers Dunks Attempted","TeamStats TwoPointers Dunks Pct","TeamStats TwoPointers Layups Made","TeamStats TwoPointers Layups Attempted","TeamStats TwoPointers Layups Pct","TeamStats TwoPointers Jumpers Made","TeamStats TwoPointers Jumpers Attempted","TeamStats TwoPointers Jumpers Pct","TeamStats ThreePointers Made","TeamStats ThreePointers Attempted","TeamStats ThreePointers Pct","TeamStats FourFactors EffectiveFieldGoalPct","TeamStats FourFactors TurnoverRatio","TeamStats FourFactors OffensiveReboundPct","TeamStats FourFactors FreeThrowRate","OpponentStats Points","OpponentStats Possessions","OpponentStats Assists","OpponentStats Steals","OpponentStats Turnovers","OpponentStats Blocks","OpponentStats DefensiveRebounds","OpponentStats OffensiveRebounds","OpponentStats TrueShooting","OpponentStats FieldGoals Made","OpponentStats FieldGoals Attempted","OpponentStats FieldGoals Pct","OpponentStats FreeThrows Made","OpponentStats FreeThrows Attempted","OpponentStats FreeThrows Pct","OpponentStats TwoPointers Made","OpponentStats TwoPointers Attempted","OpponentStats TwoPointers Pct","OpponentStats TwoPointers TipIns Made","OpponentStats TwoPointers TipIns Attempted","OpponentStats TwoPointers TipIns Pct","OpponentStats TwoPointers Dunks Made","OpponentStats TwoPointers Dunks Attempted","OpponentStats TwoPointers Dunks Pct","OpponentStats TwoPointers Layups Made","OpponentStats TwoPointers Layups Attempted","OpponentStats TwoPointers Layups Pct","OpponentStats TwoPointers Jumpers Made","OpponentStats TwoPointers Jumpers Attempted","OpponentStats TwoPointers Jumpers Pct","OpponentStats ThreePointers Made","OpponentStats ThreePointers Attempted","OpponentStats ThreePointers Pct","OpponentStats FourFactors EffectiveFieldGoalPct","OpponentStats FourFactors TurnoverRatio","OpponentStats FourFactors OffensiveReboundPct","OpponentStats FourFactors FreeThrowRate"
"16","Auburn","SEC","334-4154-198094-198099-198110","334","Keyshawn Hall","4154","KeShawn Murphy","198094","Elyjah Freeman","198099","Kaden Magwood","198110","Sebastian Williams-Adams","655","53.1","140","171.4","-31.4","21","15","3","2","4","0","5","5","58.9","6","13","46.2","7","11","63.6","4","7","57.1","0","0","0","0","0","0","4","6","66.7","0","1","0","2","6","33.3","53.8","0.27","100","84.6","24","14","4","3","3","2","4","1","71.3","7","12","58.3","9","11","81.8","6","6","100","0","0","0","3","3","100","0","0","0","3","3","100","1","6","16.7","62.5","0.21","20","91.7"
"16","Auburn","SEC","7583-198094-198098-198099-198110","7583","Kevin Overton","198094","Elyjah Freeman","198098","Filip Jović","198099","Kaden Magwood","198110","Sebastian Williams-Adams","655","62.3","145","121.4","23.6","29","20","2","4","3","3","6","3","72.2","11","17","64.7","5","7","71.4","9","13","69.2","0","0","0","0","0","0","8","11","72.7","1","2","50","2","4","50","70.6","0.15","42.9","41.2","17","14","2","0","4","1","5","3","48.5","5","14","35.7","7","8","87.5","5","13","38.5","0","0","0","0","0","0","2","8","25","3","5","60","0","1","0","35.7","0.29","42.9","57.1"
"16","Auburn","SEC","9-334-198094-198108-198110","9","Tahaad Pettiford","334","Keyshawn Hall","198094","Elyjah Freeman","198108","Simon Walker","198110","Sebastian Williams-Adams","627","63.2","111.8","168.8","-57","19","17","4","1","6","1","6","7","52.5","5","15","33.3","6","7","85.7","2","3","66.7","0","0","0","0","0","0","0","1","0","2","2","100","3","12","25","43.3","0.35","100","46.7","27","16","7","6","1","1","4","5","61.7","11","21","52.4","1","2","50","7","11","63.6","0","0","0","0","0","0","5","6","83.3","2","5","40","4","10","40","61.9","0.06","100","9.5"
"16","Auburn","SEC","9-7583-198094-198102-198110","9","Tahaad Pettiford","7583","Kevin Overton","198094","Elyjah Freeman","198102","Emeka Opurum","198110","Sebastian Williams-Adams","599","70.1","100","73.7","26.3","16","16","5","6","4","2","5","6","40.2","7","19","36.8","2","2","100","7","14","50","0","1","0","4","4","100","2","5","40","1","4","25","0","5","0","36.8","0.25","85.7","10.5","14","19","3","3","8","2","6","3","48.9","5","13","38.5","2","3","66.7","3","6","50","0","1","0","1","1","100","2","2","100","0","2","0","2","7","28.6","46.2","0.42","42.9","23.1"
"16","Auburn","SEC","9-334-7583-198094-198102","9","Tahaad Pettiford","334","Keyshawn Hall","7583","Kevin Overton","198094","Elyjah Freeman","198102","Emeka Opurum","520","66.9","125","92.3","32.7","20","16","4","1","2","1","6","4","55.9","8","17","47.1","2","2","100","6","10","60","0","0","0","1","1","100","2","4","50","3","5","60","2","7","28.6","52.9","0.13","66.7","11.8","12","13","2","1","4","1","5","6","35.8","4","15","26.7","3","4","75","3","8","37.5","1","2","50","1","1","100","1","4","25","0","1","0","1","7","14.3","30","0.31","85.7","26.7"
"16","Auburn","SEC","15-334-4154-198094-198110","15","Blake Muschalek","334","Keyshawn Hall","4154","KeShawn Murphy","198094","Elyjah Freeman","198110","Sebastian Williams-Adams","462","46.8","120","212.5","-92.5","12","10","1","1","2","3","4","2","72.1","4","7","57.1","2","3","66.7","2","4","50","0","1","0","0","0","0","2","2","100","0","1","0","2","3","66.7","71.4","0.2","33.3","42.9","17","8","2","2","1","0","1","3","66","6","12","50","1","2","50","2","7","28.6","1","1","100","0","0","0","1","5","20","0","1","0","4","5","80","66.7","0.13","100","16.7"
"16","Auburn","SEC","9-4154-7583-198098-198110","9","Tahaad Pettiford","4154","KeShawn Murphy","7583","Kevin Overton","198098","Filip Jović","198110","Sebastian Williams-Adams","451","47.9","237.5","150","87.5","19","8","2","1","0","2","3","2","68.1","5","10","50","8","9","88.9","4","7","57.1","1","1","100","0","1","0","3","4","75","0","1","0","1","3","33.3","55","0","66.7","90","15","10","4","0","1","2","3","2","63.1","6","11","54.5","1","2","50","4","7","57.1","0","0","0","0","0","0","4","6","66.7","0","1","0","2","4","50","63.6","0.1","66.7","18.2"
"16","Auburn","SEC","4154-7583-198094-198099-198110","4154","KeShawn Murphy","7583","Kevin Overton","198094","Elyjah Freeman","198099","Kaden Magwood","198110","Sebastian Williams-Adams","441","54.4","116.7","137.5","-20.8","14","12","3","0","2","2","6","0","79.9","4","7","57.1","4","4","100","2","3","66.7","0","0","0","0","0","0","2","2","100","0","1","0","2","4","50","71.4","0.17","0","57.1","11","8","2","2","0","0","3","2","42.3","5","13","38.5","0","0","0","4","8","50","0","1","0","0","0","0","3","6","50","1","1","100","1","5","20","42.3","0","66.7","0"
"16","Auburn","SEC","9-15-334-198094-198110","9","Tahaad Pettiford","15","Blake Muschalek","334","Keyshawn Hall","198094","Elyjah Freeman","198110","Sebastian Williams-Adams","422","62.6","154.5","100","54.5","17","11","3","3","1","1","3","2","71.5","7","11","63.6","1","2","50","5","7","71.4","0","1","0","0","0","0","4","4","100","1","2","50","2","4","50","72.7","0.09","66.7","18.2","11","11","1","1","4","0","2","1","61.1","5","9","55.6","0","0","0","4","8","50","1","1","100","0","0","0","2","4","50","1","3","33.3","1","1","100","61.1","0.36","33.3","0"
"16","Auburn","SEC","9-15-334-4154-198110","9","Tahaad Pettiford","15","Blake Muschalek","334","Keyshawn Hall","4154","KeShawn Murphy","198110","Sebastian Williams-Adams","415","52","155.6","133.3","22.2","14","9","0","1","1","1","4","2","65.8","4","8","50","4","6","66.7","2","4","50","0","1","0","0","0","0","2","2","100","0","1","0","2","4","50","62.5","0.11","33.3","75","12","9","1","1","1","0","3","3","50.5","5","11","45.5","1","2","50","4","9","44.4","2","2","100","0","0","0","2","4","50","0","3","0","1","2","50","50","0.11","100","18.2"
