number,value,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_wait,params_random_strength,user_attrs_best_iteration,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse_diagnostic_only,state
10,1.5236588741050185,3.0056482304934593,32,5,2918,38.364834250811505,0.029532641708913645,20,61,4.488612894579547,573,0.7876099759805407,1.2158383173832537,0.6199252466633114,1.5236588741050185,0.7810887644371285,1.5247306389459359,COMPLETE
11,1.5135530713530692,2.6227137881335376,254,5,2806,3.1545619302733003,0.041690442147811264,40,250,5.701692842039315,351,0.7905486865937433,1.2066793771543847,0.6249502857945238,1.5135530713530692,0.7843749761643682,1.5140441756697425,COMPLETE
12,1.5086829095850336,3.0316890457367927,254,5,2791,2.954667511531822,0.03169768039781251,24,247,4.619136976896273,505,0.7921185991270909,1.1993718167579326,0.6273599986259739,1.5086829095850336,0.7868855174157198,1.5094301542764124,COMPLETE
13,1.5132171938033705,3.108861196929115,32,5,2223,1.0224996654405132,0.02189093317894054,23,187,3.5102868647460115,566,0.7907023790450941,1.2068914010972023,0.6251167243609821,1.5132171938033705,0.7854327878772249,1.5150989178927545,COMPLETE
14,1.5189180552614394,6.812227725563091,254,3,2444,2.4721672255079943,0.02944031540593815,7,114,5.2000703450428745,536,0.7888783292483692,1.2128697740092063,0.6222867494351945,1.5189180552614394,0.783270310409842,1.5204240009137964,COMPLETE
15,1.5134912495509103,3.968451286774412,128,4,2393,1.0439274149491538,0.0054309362877182545,25,221,3.0013439912725546,2392,0.7906021780157606,1.2072768865920576,0.6249809233402345,1.5134912495509103,0.7862536597909873,1.5142572545329804,COMPLETE
16,1.518135927897593,6.268427066296933,128,6,2142,3.84626010307315,0.012812427909482534,9,177,7.214699913654479,1074,0.7891921566506345,1.2117915800638563,0.6226756365230007,1.518135927897593,0.7824911712820319,1.5194791564567396,COMPLETE
17,1.5207454714236808,1.7733410188444787,254,6,2688,2.0791039810894896,0.04811296304214202,27,123,4.187542414736405,271,0.7883661464910047,1.209543804137087,0.6213773461778405,1.5207454714236808,0.7833466207521271,1.5230103928953367,COMPLETE
18,1.5192035728091833,7.461383098062678,32,4,2997,5.435278637107483,0.10744711930067197,19,91,2.047146126993127,115,0.7889085746939142,1.211416542613414,0.6221447353263945,1.5192035728091833,0.7852060905895654,1.5211293649803712,COMPLETE
19,1.5109411662233063,9.847790471038579,254,5,2598,1.4940211961862957,0.019548756487791558,7,226,6.604832570301918,669,0.7916296700550207,1.2059360938557173,0.6262435989381014,1.5109411662233063,0.7848380502762027,1.5115594012658167,COMPLETE
20,1.517692969135131,9.505094253828268,254,6,1992,1.2526295550057402,0.019789548754046267,7,227,7.003364473950501,595,0.7895285217197248,1.2106350100050411,0.6228957943445175,1.517692969135131,0.7837330576330136,1.519646484144764,COMPLETE
21,1.510565085449253,9.82698890668896,254,5,2600,2.74903518534831,0.009471199306441604,11,230,6.37406597760071,1464,0.7915838030828073,1.204561413008023,0.6264296354382589,1.510565085449253,0.7864792311288082,1.5123923076042265,COMPLETE
22,1.5200805182611157,9.825100141341759,254,5,2629,2.943008840894118,0.0342451721181194,4,235,6.414496736838001,404,0.7885034115208065,1.21535453443166,0.621708382886872,1.5200805182611157,0.7823494287257406,1.5214979377899143,COMPLETE
